,사업체수,종사자수,본사,지사
농업,362,2774,8,26
광업,15,213,1,0
제조업,2421,11752,41,106
전기,31,1036,2,13
하수 폐기물처리,113,1055,4,10
건설업,2495,21674,23,30
도매 ,14393,42548,98,680
운수업,5801,14781,14,73
숙박 및 음식점업,17008,53532,33,267
출판,324,4410,10,42
금융 ,658,8184,73,460
부동산업 ,2007,5549,14,59
과학 및 기술업,1118,6902,20,88
사업시설관리업,1592,11689,36,136
공공행정업,213,12301,2,5
교육서비스업,2585,19650,14,89
보건업,1887,22006,44,219
예술업,1681,10112,9,35
개인 서비스업,5377,11958,18,256
