순번,업체명,분야
1,금오개발,제조
2,(주)대일씨엠,재조
3,대정신용협동조합,전기
4,화송산업,기타
5,우리산업,식품
6,제주양돈축협,식품
7,화성포장산업,제지
8,초콜릿뮤지움,식품
9,부민종합건설㈜,기타
10,태림상사㈜,식품
11,㈜풍농,제조
12,(주)피시트리,제조
13,CJ제일제당(주),식품
14,㈜제주페이퍼텍,제지
15,㈜현대화성,식품
16,㈜원일철강,제조
17,제주인제주,식품
18,오성전기,전기
19,㈜ 지에스엘바이오,식품
20,㈜ 에코지움,제조
21,신제주철강,제조
