순번,업체명,분야
1,금성화학,제조
2,한라씨에프엔,식품
3,제주사랑이야기,식품
4,오앤정라이팅,전기
5,(주)월자포장,제지
6,유성에너지산업,제조
7,일신산업,제조
8,제이제이콜렉션,전기
9,제주사랑농수산,제조
10,제주코스메틱,화장품
11,탐라에이치앤비,화장품
12,한국영농기술,제조
13,한라우드,제조
14,한라판지,제지
15,월자포장2,제지
