year,1명,5명,10명,20명,50명,100명,300명,500명,1000명,1000명 초과
2010,45830,38511,4024,1835,1024,300,116,12,5,3
2012,49252,40877,5099,1814,1028,296,115,16,4,3
2013,51727,42555,5571,2053,1102,301,117,20,4,4
2014,53897,44393,5842,2057,1132,320,127,19,3,4
2015,55155,44696,6427,2288,1232,354,128,22,4,4
2016,57791,47064,6482,2544,1215,323,129,23,6,5
2017,60801,49082,6818,2487,1216,319,129,20,4,6
